Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName,MatchedStation,id
2018,,Federal,Kyrsten Sinema,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,,KASW,,Kyrsten Sinema,Kyrsten Sinema,KASW,37
2018,,Federal,Kyrsten Sinema DSCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC,Senate,KASW,Democrat,Kyrsten Sinema,Kyrsten Sinema,KASW,37
2018,,Federal,McSally for Senate,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/McSally for Senate,Senate,KASW,,McSally,McSally for Senate,KASW,44
2018,AZ 09,Federal,Greg Stanton for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 09,House,KASW,,Greg Stanton,Greg Stanton for Congress,KASW,28
2018,AZ 01,Federal,DCCC T OHALLERAN AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 01,House,KASW,Democrat,T OHALLERAN  1,DCCC T OHALLERAN AZ-1,KASW,57
2018,AZ 01,Federal,OHALLERAN AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 01,,KASW,,OHALLERAN  1,DCCC T OHALLERAN AZ-1,KASW,57
2018,,Federal,TIPRNENI,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/TIPRNENI,,KASW,,TIPRNENI,HIRAL TIPRNENI DCONGRESS,KASW,29
2018,,Non-Candidate Issue Ads,Tax March,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Tax March,,KASW,,Tax March,Tax March,KASW,59
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KASW,,Arizonans for Affordable Electricity,Arizonans for Affordable Electricity,KASW,10
2018,,Non-Candidate Issue Ads,AFSCME People Pac,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac,,KASW,,AFSCME People Pac,AFSCME People Pac,KASW,2
2018,,Non-Candidate Issue Ads,Republican Governors Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Republican Governors Association,Governor,KASW,Republican,Republican Governors Association,Republican Governors Association,KASW,52
2018,,Non-Candidate Issue Ads,One Nation,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/One Nation,,KASW,,One Nation,One Nation,KASW,48
2018,,Non-Candidate Issue Ads,Red and Gold,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,,KASW,,Red and Gold,Red and Gold,KASW,51
2018,,Non-Candidate Issue Ads,NRSC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/NRSC,Senate,KASW,Republican,NRSC,NRSC,KASW,47
2018,,Non-Candidate Issue Ads,45 Committe PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,,KASW,,45 Committe PAC,45 Committe PAC,KASW,1
2018,,Non-Candidate Issue Ads,Patriot Majority,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Patriot Majority,,KASW,,Patriot Majority,Patriot Majority,KASW,49
2018,,Non-Candidate Issue Ads,Future 45,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Future 45,,KASW,,Future 45,Future 45,KASW,23
2018,,Non-Candidate Issue Ads,Vote Vets Action Fund,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Vote Vets Action Fund,,KASW,,Vote Vets Action Fund,MAJORITY FORWARD-VOTE VETS ACTION FUND,KASW,41
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KASW,Republican,Arizona Republican Party,Arizona Republican Party,KASW,8
2018,,Non-Candidate Issue Ads,Senate Majority,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Senate Majority,Senate,KASW,,Senate Majority,Senate Majority,KASW,55
