Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran 26142945 REV.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran 26142945.pdf,contractsScraping or Timeout Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran NAB 26142945.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress 26222342.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress NAB Form-1.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress NAB Form.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran NAB 262222342.pdf,No parser written for file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26147113.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26151139.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26155333.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26141821.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26141826.pdf,orders Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/PHOENIX (PRESCOTT)/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26145627.pdf,orders Success
