Cycle,District,Jurisdiction,Name,Path,Race,Station,NameSimpl,Party
2018,,Non-Candidate Issue Ads,45 COMMITTEE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/45 COMMITTEE,,KPHO-TV,45 COMMITTEE,
2018,,Non-Candidate Issue Ads,45 Committe PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,,KASW,45 Committe PAC,
2018,,Non-Candidate Issue Ads,45 Committee,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KNXV-TV,45 Committee,
2018,,Non-Candidate Issue Ads,45 Committee,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KSAZ-TV/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KSAZ-TV,45 Committee,
2018,,Non-Candidate Issue Ads,45 Committee,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KUTP/Political Files/2018/Non-Candidate Issue Ads/45 Committee,,KUTP,45 Committee,
2018,,Non-Candidate Issue Ads,45 Committee 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/45 Committee 2018,,KPNX,45 Committee ,
2018,,Non-Candidate Issue Ads,ACLU,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTAZ/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KTAZ,ACLU,
2018,,Non-Candidate Issue Ads,ACLU,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU,,KPHO-TV,ACLU,
2018,,Non-Candidate Issue Ads,ACLU 2018,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPNX/Political Files/2018/Non-Candidate Issue Ads/ACLU 2018,,KPNX,ACLU ,
2018,,Non-Candidate Issue Ads,ACLU AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/ACLU AZ,,KNXV-TV,ACLU ARIZONA,Republican
2018,,Non-Candidate Issue Ads,AFSCMA People,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KNXV-TV/Political Files/2018/Non-Candidate Issue Ads/AFSCMA People,,KNXV-TV,AFSCMA People,
2018,,Non-Candidate Issue Ads,AFSCME PEOPLE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KTVK/Political Files/2018/Non-Candidate Issue Ads/AFSCME PEOPLE,,KTVK,AFSCME PEOPLE,
