Cycle,District,Jurisdiction,Name,Path,Race,Station,Party,NameSimpl,MatchedName
2018,,Federal,Kyrsten Sinema,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,,KASW,,Kyrsten Sinema,Kyrsten Sinema
2018,,Federal,Kyrsten Sinema,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,,KASW,,Kyrsten Sinema,Kyrsten Sinema
2018,,Federal,Kyrsten Sinema DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC,Senate,KASW,Democrat,Kyrsten Sinema ,Kyrsten Sinema
2018,,Federal,McSally for Senate,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate,Senate,KASW,,McSally  ,McSally for Senate
2018,AZ 01,Federal,DCCC T OHALLERAN AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1,House,KASW,Democrat, T OHALLERAN  1,DCCC T OHALLERAN AZ-1
2018,AZ 01,Federal,OHALLERAN AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1,,KASW,,OHALLERAN  1,DCCC T OHALLERAN AZ-1
2018,AZ 09,Federal,Greg Stanton for Congress,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress,House,KASW,,Greg Stanton  ,Greg Stanton for Congress
2018,,Non-Candidate Issue Ads,45 Committe PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,,KASW,,45 Committe PAC,45 Committe PAC
2018,,Non-Candidate Issue Ads,AFSCME People Pac,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac,,KASW,,AFSCME People Pac,AFSCME People Pac
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KASW,Republican,Arizona Republican Party,Arizona Republican Party
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KASW,,Arizonans for Affordable Electricity,Arizonans for Affordable Electricity
