sign,state,network,dma,channel,id,medium
KGUN-TV,AZ,ABC,TUCSON (SIERRA VISTA),9,36918,broadcast
KHRR,AZ,TELEMUNDO,TUCSON (SIERRA VISTA),40,30601,broadcast
KMSB,AZ,FOX,TUCSON (SIERRA VISTA),11,44052,broadcast
KOLD-TV,AZ,CBS,TUCSON (SIERRA VISTA),13,48663,broadcast
KTTU,AZ,MYNETWORK TV,TUCSON (SIERRA VISTA),18,11908,broadcast
KUAS-TV,AZ,PBS,TUCSON (SIERRA VISTA),27,2722,broadcast
KUAT-TV,AZ,PBS,TUCSON (SIERRA VISTA),6,2731,broadcast
KVOA,AZ,NBC,TUCSON (SIERRA VISTA),4,25735,broadcast
KFTU-DT,AZ,UNIMAS,TUCSON (SIERRA VISTA),3,81441,broadcast
KUVE-DT,AZ,UNIVISION,TUCSON (SIERRA VISTA),46,63927,broadcast
KWBA-TV,AZ,CW,TUCSON (SIERRA VISTA),58,35095,broadcast
