Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Federal,Kyrsten Sinema,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,,KASW
2018,,Federal,Kyrsten Sinema DSCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC,,KASW
2018,,Federal,McSally for Senate,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/McSally for Senate,,KASW
2018,AZ 01,Federal,DCCC T OHALLERAN AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1,,KASW
2018,AZ 01,Federal,OHALLERAN AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1,,KASW
2018,AZ 09,Federal,Greg Stanton for Congress,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress,,KASW
2018,,Non-Candidate Issue Ads,45 Committe PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,,KASW
2018,,Non-Candidate Issue Ads,AFSCME People Pac,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac,,KASW
2018,,Non-Candidate Issue Ads,Arizona Republican Party,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizona Republican Party,,KASW
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KASW
2018,,Non-Candidate Issue Ads,Clean Energy for a Healthy Arizona,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Non-Candidate Issue Ads/Clean Energy for a Healthy Arizona,,KASW
