,Cycle,District,Jurisdiction,MatchedName,MatchedStation,Name,NameSimpl,Party,Path,Race,Station,id
0,2018,,State,Governor,KASW,Governor,,,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Governor,Governor,KASW,0
5,2018,,Federal,American Civil Liberties Union Inc - ACLU AZ,KTVW-DT,American Civil Liberties Union Inc - ACLU AZ,American Civil Liberties Union Inc   ACLU,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/Federal/US Senate/American Civil Liberties Union Inc - ACLU AZ,,KTVW-DT,5
6,2018,,Federal,Andy Biggs,KAZT-TV,Andy Biggs,Andy Biggs,,/home/andrew/Documents/PredictiveModeling/TV/stations/KAZT-TV/Political Files/2018/Federal/US House/Andy Biggs,,KAZT-TV,6
11,2018,,State,CHISPA AZ PAC,KSAZ-TV,CHISPA AZ PAC,CHISPA  PAC,,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/CHISPA AZ PAC,,KSAZ-TV,11
18,2018,,Federal,David Brill US House 2018,KPNX,David Brill US House 2018,David Brill,,/home/andrew/Documents/PredictiveModeling/TV/stations/KPNX/Political Files/2018/Federal/US House/David Brill US House 2018,House,KPNX,18
27,2018,,State,Gaynor for AZ Secretary of State - GENERAL ELECTION,KNXV-TV,Gaynor for AZ Secretary of State - GENERAL ELECTION,Gaynor,,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,27
29,2018,AZ 08,Federal,HIRAL TIPRNENI DCONGRESS,KTVK,HIRAL TIPRNENI DCONGRESS,HIRAL TIPRNENI D,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 08,House,KTVK,29
33,2018,,State,KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,KTVK,KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,KATHY HOFFMAN  OF PUBLIC INSTRUCTION,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/State/KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,Superintendent of Public Instruction,KTVK,33
34,2018,,State,KTVW AZ Education Assoc-Teacher Walkout,KTVW-DT,KTVW AZ Education Assoc-Teacher Walkout,KTVW  Education Assoc Teacher Walkout,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/KTVW AZ Education Assoc-Teacher Walkout,,KTVW-DT,34
35,2018,,State,KTVW- Sears for AZ,KTVW-DT,KTVW- Sears for AZ,KTVW  Sears,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/KTVW- Sears for AZ,,KTVW-DT,35
53,2018,AZ 09,Federal,STEVE FERRARA FOR CONGRESS AZ 09,KTVK,STEVE FERRARA FOR CONGRESS AZ 09,STEVE FERRARA    09,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 09,House,KTVK,53
56,2018,,Federal,Shedd for Congress,KNXV-TV,Shedd for Congress,Shedd,,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Shedd for Congress,House,KNXV-TV,56
64,2018,AZ 01,Federal,WENDY ROGERS FOR US CONGRESS AZ-1,KPHO-TV,WENDY ROGERS FOR US CONGRESS AZ-1,WENDY ROGERS   1,,/home/andrew/Documents/PredictiveModeling/TV/stations/KPHO-TV/Political Files/2018/Federal/US House/AZ 01,House,KPHO-TV,64
66,2018,,State,Women Vote,KTVW-DT,Women Vote,Women Vote,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/Women Vote,,KTVW-DT,66
