Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Federal,Kyrsten Sinema,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,,KASW
2018,,Federal,Kyrsten Sinema DSCC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema DSCC,,KASW
2018,,Federal,McSally for Senate,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/McSally for Senate,,KASW
2018,AZ 09,Federal,Greg Stanton for Congress,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 09,,KASW
2018,AZ 01,Federal,DCCC T OHALLERAN AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 01,,KASW
2018,AZ 01,Federal,OHALLERAN AZ-1,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 01,,KASW
2018,,Federal,TIPRNENI,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/TIPRNENI,,KASW
2018,,Non-Candidate Issue Ads,Tax March,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Tax March,,KASW
2018,,Non-Candidate Issue Ads,Arizonans for Affordable Electricity,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Arizonans for Affordable Electricity,,KASW
2018,,Non-Candidate Issue Ads,AFSCME People Pac,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/AFSCME People Pac,,KASW
2018,,Non-Candidate Issue Ads,Republican Governors Association,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Republican Governors Association,,KASW
2018,,Non-Candidate Issue Ads,One Nation,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/One Nation,,KASW
2018,,Non-Candidate Issue Ads,Red and Gold,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Red and Gold,,KASW
2018,,Non-Candidate Issue Ads,NRSC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/NRSC,,KASW
2018,,Non-Candidate Issue Ads,45 Committe PAC,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/45 Committe PAC,,KASW
2018,,Non-Candidate Issue Ads,Patriot Majority,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Patriot Majority,,KASW
2018,,Non-Candidate Issue Ads,Future 45,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Non-Candidate Issue Ads/Future 45,,KASW
