,Cycle,District,Jurisdiction,MatchedName,MatchedStation,Name,NameSimpl,Party,Path,Race,Station,id
0,2018,,State,Governor,KASW,Governor,,,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Governor,Governor,KASW,0
5,2018,,Federal,American Civil Liberties Union Inc - ACLU AZ,KTVW-DT,American Civil Liberties Union Inc - ACLU AZ,American Civil Liberties Union Inc   ACLU,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/Federal/US Senate/American Civil Liberties Union Inc - ACLU AZ,,KTVW-DT,5
6,2018,,Federal,Andy Biggs,KAZT-TV,Andy Biggs,Andy Biggs,,/home/andrew/Documents/PredictiveModeling/TV/stations/KAZT-TV/Political Files/2018/Federal/US House/Andy Biggs,,KAZT-TV,6
11,2018,,State,CHISPA AZ PAC,KSAZ-TV,CHISPA AZ PAC,CHISPA  PAC,,/home/andrew/Documents/PredictiveModeling/TV/stations/KSAZ-TV/Political Files/2018/State/CHISPA AZ PAC,,KSAZ-TV,11
15,2018,,State,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,KNXV-TV,Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,Contreras,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Democratic Party - Contreras for Attorney General - GENERAL ELECTION,Attorney General,KNXV-TV,15
16,2018,,State,D DUCEY AZRP,KASW,D DUCEY AZRP,D DUCEY,Republican,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/D DUCEY AZRP,Governor,KASW,16
18,2018,,Federal,David Brill US House 2018,KPNX,David Brill US House 2018,David Brill,,/home/andrew/Documents/PredictiveModeling/TV/stations/KPNX/Political Files/2018/Federal/US House/David Brill US House 2018,House,KPNX,18
22,2018,,State,Farley for Governor - PRIMARY ELECTION,KNXV-TV,Farley for Governor - PRIMARY ELECTION,Farley,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Farley for Governor - PRIMARY ELECTION,Governor,KNXV-TV,22
24,2018,,State,Gallego for Mayor,KASW,Gallego for Mayor,Gallego,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Gallego for Mayor,Mayor,KASW,24
25,2018,AZ 07,Federal,GallegoDemocratCongress,KNXV-TV,GallegoDemocratCongress,Gallego,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/GallegoDemocratCongress,House,KNXV-TV,25
26,2018,,State,Garcia for Governor - GENERAL ELECTION,KNXV-TV,Garcia for Governor - GENERAL ELECTION,Garcia,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Garcia for Governor - GENERAL ELECTION,Governor,KNXV-TV,26
27,2018,,State,Gaynor for AZ Secretary of State - GENERAL ELECTION,KNXV-TV,Gaynor for AZ Secretary of State - GENERAL ELECTION,Gaynor,,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Gaynor for AZ Secretary of State - GENERAL ELECTION,Secretary of State,KNXV-TV,27
28,2018,AZ 09,Federal,Greg Stanton for Congress,KASW,Greg Stanton for Congress,Greg Stanton,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 09,House,KASW,28
29,2018,AZ 08,Federal,HIRAL TIPRNENI DCONGRESS,KTVK,HIRAL TIPRNENI DCONGRESS,HIRAL TIPRNENI D,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 08,House,KTVK,29
30,2018,,State,Hoffman Democrat State Superintendent - GENERAL ELECTION,KNXV-TV,Hoffman Democrat State Superintendent - GENERAL ELECTION,Hoffman,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Hoffman Democrat State Superintendent - GENERAL ELECTION,Superintendent of Public Instruction,KNXV-TV,30
33,2018,,State,KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,KTVK,KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,KATHY HOFFMAN  OF PUBLIC INSTRUCTION,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/State/KATHY HOFFMAN STATE SUPERINTENDENT OF PUBLIC INSTRUCTION,Superintendent of Public Instruction,KTVK,33
34,2018,,State,KTVW AZ Education Assoc-Teacher Walkout,KTVW-DT,KTVW AZ Education Assoc-Teacher Walkout,KTVW  Education Assoc Teacher Walkout,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/KTVW AZ Education Assoc-Teacher Walkout,,KTVW-DT,34
35,2018,,State,KTVW- Sears for AZ,KTVW-DT,KTVW- Sears for AZ,KTVW  Sears,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVW-DT/Political Files/2018/State/KTVW- Sears for AZ,,KTVW-DT,35
36,2018,,State,Katie Hobbs for Secretary of State,KASW,Katie Hobbs for Secretary of State,Katie Hobbs,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/State/Katie Hobbs for Secretary of State,Secretary of State,KASW,36
37,2018,,Federal,Kyrsten Sinema,KASW,Kyrsten Sinema,Kyrsten Sinema,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema,Senate,KASW,37
39,2018,AZ 08,Federal,NRCC Lesko for Congress,KNXV-TV,NRCC Lesko for Congress,Lesko,Republican,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/NRCC Lesko for Congress,House,KNXV-TV,39
40,2018,,State,Lieberman Democrat State House District 28,KNXV-TV,Lieberman Democrat State House District 28,Lieberman  State  District 28,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Lieberman Democrat State House District 28,House,KNXV-TV,40
42,2018,,State,Manoil Democrat State Treasurer - PRIMARY ELECTION,KNXV-TV,Manoil Democrat State Treasurer - PRIMARY ELECTION,Manoil,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Manoil Democrat State Treasurer - PRIMARY ELECTION,State Treasurer,KNXV-TV,42
43,2018,,State,Arizona Republican Party - Mark Brnovich for AZ,KNXV-TV,Arizona Republican Party - Mark Brnovich for AZ,Mark Brnovich,Republican,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/State/Arizona Republican Party - Mark Brnovich for AZ,Attorney General,KNXV-TV,43
44,2018,,Federal,McSally for Senate,KASW,McSally for Senate,McSally,Republican,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US Senate/McSally for Senate,Senate,KASW,44
53,2018,AZ 09,Federal,STEVE FERRARA FOR CONGRESS AZ 09,KTVK,STEVE FERRARA FOR CONGRESS AZ 09,STEVE FERRARA    09,,/home/andrew/Documents/PredictiveModeling/TV/stations/KTVK/Political Files/2018/Federal/US House/AZ 09,House,KTVK,53
56,2018,,Federal,Shedd for Congress,KNXV-TV,Shedd for Congress,Shedd,,/home/andrew/Documents/PredictiveModeling/TV/stations/KNXV-TV/Political Files/2018/Federal/US House/Shedd for Congress,House,KNXV-TV,56
57,2018,AZ 01,Federal,DCCC T OHALLERAN AZ-1,KASW,DCCC T OHALLERAN AZ-1,T OHALLERAN  1,Democrat,/home/andrew/Documents/PredictiveModeling/TV/stations/KASW/Political Files/2018/Federal/US House/AZ 01,House,KASW,57
