Path,Result
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran 26142945 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran 26142945.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN AZ-1/DCCC O'Halleran NAB 26142945.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress 26222342.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress NAB Form-1.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran for Congress NAB Form.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/O'Halleran NAB 262222342.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26147113.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26151139.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 01/OHALLERAN AZ-1/Tom O'Halleran 26155333.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26141821.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26141826.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26145627.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton for Congress 26208856.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/AZ 09/Greg Stanton NAB Form.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25982677 April Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25982677.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25987108 April Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25987108.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25991782 April Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25991782.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25993617 April Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tiprneni 25993617.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US House/TIPRNENI/Tirneni NAB.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 1615755-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 1615755.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26102782-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26102782.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26110225-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26110225.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114925-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114925.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114931-1.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114931.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114947-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114947.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26114953-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26115882-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26115882.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26122540-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26122540.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26126650-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26126650.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257-2 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26131257.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509 revised.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509-1 Invoice.pdf,Not an order file.
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26135509-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26141402-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26141402.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778 REV.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778-1.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26145778.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26152243 REV.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26152243.pdf,Success
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema 26206584.pdf,Scraping Error
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114925.pdf,File not OCRd
/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KASW/Political Files/2018/Federal/US Senate/Kyrsten Sinema/Kyrsten Sinema NAB 26114931.pdf,File not OCRd
