Committee,Date,Program,Rate,Station,Cycle
DCCC T OHALLERAN AZ-1,2018-09-06,M-F930p-10p,$15000,KASW,2018
DCCC T OHALLERAN AZ-1,2018-09-07,M-F930p-10p,$15000,KASW,2018
DCCC T OHALLERAN AZ-1,2018-09-10,M-F930p-10p,$15000,KASW,2018
OHALLERAN AZ-1,2018-09-27,M-F6p-630p,$35000,KASW,2018
OHALLERAN AZ-1,2018-10-01,M-F6p-630p,$35000,KASW,2018
OHALLERAN AZ-1,2018-09-25,M-F9p-930p,$16000,KASW,2018
OHALLERAN AZ-1,2018-09-26,M-F9p-930p,$16000,KASW,2018
OHALLERAN AZ-1,2018-09-27,M-F9p-930p,$16000,KASW,2018
OHALLERAN AZ-1,2018-09-28,M-F9p-930p,$16000,KASW,2018
OHALLERAN AZ-1,2018-10-01,M-F9p-930p,$16000,KASW,2018
OHALLERAN AZ-1,2018-09-25,M-F930p-10p,$15000,KASW,2018
OHALLERAN AZ-1,2018-09-26,M-F930p-10p,$15000,KASW,2018
OHALLERAN AZ-1,2018-09-27,M-F930p-10p,$15000,KASW,2018
OHALLERAN AZ-1,2018-09-28,M-F930p-10p,$15000,KASW,2018
OHALLERAN AZ-1,2018-10-01,M-F930p-10p,$15000,KASW,2018
AZ 09,2018-10-24,M-F630p-7p,$35000,KASW,2018
AZ 09,2018-10-26,M-F630p-7p,$35000,KASW,2018
AZ 09,2018-10-23,M-F930p-10p,$15000,KASW,2018
AZ 09,2018-10-24,M-F930p-10p,$15000,KASW,2018
AZ 09,2018-10-29,M-F930p-10p,$15000,KASW,2018
AZ 09,2018-10-28,Su1130p-12a,$3500,KASW,2018
AZ 09,2018-10-28,Su11p-1130p,$5000,KASW,2018
AZ 09,2018-10-28,Su1030p-11p,$5000,KASW,2018
AZ 09,2018-10-27,Sa930p-10p,$10000,KASW,2018
AZ 09,2018-10-25,M-F9p-930p,$16000,KASW,2018
TIPRNENI,2018-04-04,6:00PM-6:30PM,$20000,KASW,2018
TIPRNENI,2018-04-05,6:00PM-6:30PM,$20000,KASW,2018
TIPRNENI,2018-04-06,6:00PM-6:30PM,$20000,KASW,2018
TIPRNENI,2018-04-07,6:00PM-6:30PM,$20000,KASW,2018
TIPRNENI,2018-04-08,6:00PM-6:30PM,$20000,KASW,2018
TIPRNENI,2018-04-04,6:30PM-7:00PM,$20000,KASW,2018
TIPRNENI,2018-04-05,6:30PM-7:00PM,$20000,KASW,2018
TIPRNENI,2018-04-06,6:30PM-7:00PM,$20000,KASW,2018
TIPRNENI,2018-04-07,6:30PM-7:00PM,$20000,KASW,2018
TIPRNENI,2018-04-08,6:30PM-7:00PM,$20000,KASW,2018
Kyrsten Sinema,2018-07-19,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-07-17,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-07-20,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-07-23,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-07-10,M-F6p-630p,$22500,KASW,2018
Kyrsten Sinema,2018-07-11,M-F6p-630p,$22500,KASW,2018
Kyrsten Sinema,2018-07-12,M-F6p-630p,$22500,KASW,2018
Kyrsten Sinema,2018-07-13,M-F6p-630p,$22500,KASW,2018
Kyrsten Sinema,2018-07-10,M-F630p-7p,$25000,KASW,2018
Kyrsten Sinema,2018-07-11,M-F630p-7p,$25000,KASW,2018
Kyrsten Sinema,2018-07-12,M-F630p-7p,$25000,KASW,2018
Kyrsten Sinema,2018-07-13,M-F630p-7p,$25000,KASW,2018
Kyrsten Sinema,2018-07-16,M-F630p-7p,$25000,KASW,2018
Kyrsten Sinema,2018-07-25,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-07-27,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-16,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-17,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-18,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-19,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-22,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-16,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-17,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-18,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-19,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-22,M-F630p-7p,$35000,KASW,2018
Kyrsten Sinema,2018-10-20,6:30PM-7:00PM,$25000,KASW,2018
Kyrsten Sinema,2018-10-21,6:00PM-6:30PM,$25000,KASW,2018
Kyrsten Sinema,2018-10-16,M-F930p-10p,$15000,KASW,2018
Kyrsten Sinema,2018-10-17,M-F930p-10p,$15000,KASW,2018
Kyrsten Sinema,2018-10-18,M-F930p-10p,$15000,KASW,2018
Kyrsten Sinema,2018-10-19,M-F930p-10p,$15000,KASW,2018
Kyrsten Sinema,2018-10-22,M-F930p-10p,$15000,KASW,2018
Kyrsten Sinema,2018-10-24,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-25,M-F6p-630p,$35000,KASW,2018
Kyrsten Sinema,2018-10-26,M-F6p-630p,$35000,KASW,2018
