sign,state,network,dma,channel,id,medium
KAET,AZ,PBS,PHOENIX (PRESCOTT),8,2728,broadcast
KASW,AZ,CW,PHOENIX (PRESCOTT),61,7143,broadcast
KNXV-TV,AZ,ABC,PHOENIX (PRESCOTT),15,59440,broadcast
KPAZ-TV,AZ,TRINITY BROADCASTING NETWORK,PHOENIX (PRESCOTT),21,67868,broadcast
KPHO-TV,AZ,CBS,PHOENIX (PRESCOTT),5,41223,broadcast
KSAZ-TV,AZ,FOX,PHOENIX (PRESCOTT),10,35587,broadcast
KTAZ,AZ,TELEMUNDO,PHOENIX (PRESCOTT),39,81458,broadcast
KTVK,AZ,CW,PHOENIX (PRESCOTT),3,40993,broadcast
KTVW-DT,AZ,UNIVISION,PHOENIX (PRESCOTT),33,35705,broadcast
KUTP,AZ,MY NETWORK,PHOENIX (PRESCOTT),45,68886,broadcast
KAZT-TV,AZ,IND,PHOENIX (PRESCOTT),7,35811,broadcast
KDTP,AZ,IND,PHOENIX (PRESCOTT),11,83491,broadcast
KFPH-DT,AZ,UNIMAS,PHOENIX (PRESCOTT),13,41517,broadcast
KMOH-TV,AZ,MTV TR3S,PHOENIX (PRESCOTT),6,24753,broadcast
KNAZ-TV,AZ,NBC,PHOENIX (PRESCOTT),2,24749,broadcast
KPNX,AZ,NBC,PHOENIX (PRESCOTT),12,35486,broadcast
KPPX-TV,AZ,ION,PHOENIX (PRESCOTT),51,26655,broadcast
